1-11	MC
633	IDEN   	SEEK_CUR
633	SPEC   	)
633	SPEC   	;
634	SPEC   	}
635	SPEC   	}
636	REWD   	else
636	REWD   	if
636	SPEC   	(
636	IDEN   	c
636	OPER   	==
636	CHAR   	\\n
636	SPEC   	)
637	SPEC   	{
638	IDEN   	fr
638	OPER   	->
638	IDEN   	line_number
638	OPER   	++
638	SPEC   	;
639	SPEC   	}
641	SPEC   	}
642	IDEN   	fprintf
642	SPEC   	(
642	IDEN   	fout
642	OPER   	,
642	STR    	%d-%d\t%s\t\tERROR: missing */\n
642	OPER   	,
642	IDEN   	comment_start_line
642	OPER   	,
642	IDEN   	fr
642	OPER   	->
642	IDEN   	line_number
642	OPER   	,
642	IDEN   	token_type_to_string
642	SPEC   	(
642	IDEN   	MC
642	SPEC   	)
642	SPEC   	)
642	SPEC   	;
643	SPEC   	}
645	IDEN   	void
646	IDEN   	scan_tokens
646	SPEC   	(
646	IDEN   	FileReader
646	OPER   	*
646	IDEN   	fr
646	OPER   	,
646	IDEN   	FILE
646	OPER   	*
646	IDEN   	fout
646	SPEC   	)
647	SPEC   	{
648	REWD   	char
648	IDEN   	c
648	SPEC   	;
650	REWD   	while
650	SPEC   	(
650	SPEC   	(
650	IDEN   	c
650	OPER   	=
650	IDEN   	fgetc
650	SPEC   	(
650	IDEN   	fr
650	OPER   	->
650	IDEN   	fin
650	SPEC   	)
650	SPEC   	)
650	OPER   	!=
650	IDEN   	EOF
650	SPEC   	)
651	SPEC   	{
652	REWD   	if
652	SPEC   	(
652	IDEN   	isspace
652	SPEC   	(
652	IDEN   	c
652	SPEC   	)
652	SPEC   	)
653	SPEC   	{
654	REWD   	if
654	SPEC   	(
654	IDEN   	c
654	OPER   	==
654	CHAR   	\\n
654	SPEC   	)
655	SPEC   	{
656	IDEN   	fr
656	OPER   	->
656	IDEN   	line_number
656	OPER   	++
656	SPEC   	;
657	SPEC   	}
658	SPEC   	}
659	REWD   	else
659	REWD   	if
659	SPEC   	(
659	IDEN   	isalpha
659	SPEC   	(
659	IDEN   	c
659	SPEC   	)
659	OPER   	||
659	IDEN   	c
659	OPER   	==
659	CHAR   	_
659	SPEC   	)
660	SPEC   	{
661	IDEN   	fseek
661	SPEC   	(
661	IDEN   	fr
661	OPER   	->
661	IDEN   	fin
661	OPER   	,
661	OPER   	,
661	IDEN   	SEEK_CUR
661	SPEC   	)
661	SPEC   	;
662	IDEN   	ScanToken
662	SPEC   	(
662	IDEN   	fr
662	OPER   	,
662	IDEN   	fout
662	OPER   	,
662	IDEN   	scan_identifier
662	SPEC   	)
662	SPEC   	;
663	SPEC   	}
664	REWD   	else
664	REWD   	if
664	SPEC   	(
664	IDEN   	isdigit
664	SPEC   	(
664	IDEN   	c
664	SPEC   	)
664	SPEC   	)
665	SPEC   	{
666	IDEN   	fseek
666	SPEC   	(
666	IDEN   	fr
666	OPER   	->
666	IDEN   	fin
666	OPER   	,
666	OPER   	,
666	IDEN   	SEEK_CUR
666	SPEC   	)
666	SPEC   	;
667	REWD   	if
667	SPEC   	(
667	IDEN   	c
667	OPER   	==
667	CHAR   	0
667	SPEC   	)
668	SPEC   	{
669	SC     	
670	REWD   	char
670	IDEN   	nextChar
670	OPER   	=
670	IDEN   	fgetc
670	SPEC   	(
670	IDEN   	fr
670	OPER   	->
670	IDEN   	fin
670	SPEC   	)
670	SPEC   	;
671	REWD   	if
671	SPEC   	(
671	IDEN   	nextChar
671	OPER   	==
671	CHAR   	x
671	OPER   	||
671	IDEN   	nextChar
671	OPER   	==
671	CHAR   	X
671	SPEC   	)
672	SPEC   	{
673	SC     	
674	IDEN   	fseek
674	SPEC   	(
674	IDEN   	fr
674	OPER   	->
674	IDEN   	fin
674	OPER   	,
674	OPER   	,
674	IDEN   	SEEK_CUR
674	SPEC   	)
674	SPEC   	;
675	IDEN   	ScanToken
675	SPEC   	(
675	IDEN   	fr
675	OPER   	,
675	IDEN   	fout
675	OPER   	,
675	IDEN   	scan_hexadecimal
675	SPEC   	)
675	SPEC   	;
676	SPEC   	}
677	REWD   	else
678	SPEC   	{
679	SC     	
680	IDEN   	fseek
680	SPEC   	(
680	IDEN   	fr
680	OPER   	->
680	IDEN   	fin
680	OPER   	,
680	OPER   	,
680	IDEN   	SEEK_CUR
680	SPEC   	)
680	SPEC   	;
681	IDEN   	ScanToken
681	SPEC   	(
681	IDEN   	fr
681	OPER   	,
681	IDEN   	fout
681	OPER   	,
681	IDEN   	scan_octal
681	SPEC   	)
681	SPEC   	;
683	SPEC   	}
684	SPEC   	}
685	REWD   	else
686	SPEC   	{
687	IDEN   	ScanToken
687	SPEC   	(
687	IDEN   	fr
687	OPER   	,
687	IDEN   	fout
687	OPER   	,
687	IDEN   	scan_integer
687	SPEC   	)
687	SPEC   	;
688	SPEC   	}
689	SPEC   	}
690	REWD   	else
690	REWD   	if
690	SPEC   	(
690	IDEN   	c
690	OPER   	==
690	CHAR   	\\'
690	SPEC   	)
691	SPEC   	{
692	IDEN   	ScanToken
692	SPEC   	(
692	IDEN   	fr
692	OPER   	,
692	IDEN   	fout
692	OPER   	,
692	IDEN   	scan_character
692	SPEC   	)
692	SPEC   	;
693	SPEC   	}
694	REWD   	else
694	REWD   	if
694	SPEC   	(
694	IDEN   	c
694	OPER   	==
694	CHAR   	\\"
694	SPEC   	)
695	SPEC   	{
696	IDEN   	ScanToken
696	SPEC   	(
696	IDEN   	fr
696	OPER   	,
696	IDEN   	fout
696	OPER   	,
696	IDEN   	scan_string
696	SPEC   	)
696	SPEC   	;
697	SPEC   	}
698	REWD   	else
698	REWD   	if
698	SPEC   	(
698	IDEN   	c
698	OPER   	==
698	CHAR   	/
698	SPEC   	)
699	SPEC   	{
700	IDEN   	c
700	OPER   	=
700	IDEN   	fgetc
700	SPEC   	(
700	IDEN   	fr
700	OPER   	->
700	IDEN   	fin
700	SPEC   	)
700	SPEC   	;
701	REWD   	if
701	SPEC   	(
701	IDEN   	c
701	OPER   	==
701	CHAR   	/
701	SPEC   	)
702	SPEC   	{
703	IDEN   	ScanToken
703	SPEC   	(
703	IDEN   	fr
703	OPER   	,
703	IDEN   	fout
703	OPER   	,
703	IDEN   	scan_single_comment
703	SPEC   	)
703	SPEC   	;
704	SPEC   	}
705	REWD   	else
705	REWD   	if
705	SPEC   	(
705	IDEN   	c
705	OPER   	==
705	CHAR   	*
705	SPEC   	)
706	SPEC   	{
707	IDEN   	ScanToken
707	SPEC   	(
707	IDEN   	fr
707	OPER   	,
707	IDEN   	fout
707	OPER   	,
707	IDEN   	scan_multi_comment
707	SPEC   	)
707	SPEC   	;
708	SPEC   	}
709	REWD   	else
710	SPEC   	{
711	IDEN   	fseek
711	SPEC   	(
711	IDEN   	fr
711	OPER   	->
711	IDEN   	fin
711	OPER   	,
711	OPER   	,
711	IDEN   	SEEK_CUR
711	SPEC   	)
711	SPEC   	;
712	IDEN   	ScanToken
712	SPEC   	(
712	IDEN   	fr
712	OPER   	,
712	IDEN   	fout
712	OPER   	,
712	IDEN   	scan_operator
712	SPEC   	)
712	SPEC   	;
713	SPEC   	}
714	SPEC   	}
715	REWD   	else
715	REWD   	if
715	SPEC   	(
715	IDEN   	c
715	OPER   	==
715	CHAR   	.
715	SPEC   	)
716	SPEC   	{
717	IDEN   	fseek
717	SPEC   	(
717	IDEN   	fr
717	OPER   	->
717	IDEN   	fin
717	OPER   	,
717	OPER   	,
717	IDEN   	SEEK_CUR
717	SPEC   	)
717	SPEC   	;
718	IDEN   	ScanToken
718	SPEC   	(
718	IDEN   	fr
718	OPER   	,
718	IDEN   	fout
718	OPER   	,
718	IDEN   	scan_float
718	SPEC   	)
718	SPEC   	;
719	SPEC   	}
720	REWD   	else
720	REWD   	if
720	SPEC   	(
720	IDEN   	c
720	OPER   	==
720	CHAR   	#
720	SPEC   	)
721	SPEC   	{
722	IDEN   	fseek
722	SPEC   	(
722	IDEN   	fr
722	OPER   	->
722	IDEN   	fin
722	OPER   	,
722	OPER   	,
722	IDEN   	SEEK_CUR
722	SPEC   	)
722	SPEC   	;
723	IDEN   	ScanToken
723	SPEC   	(
723	IDEN   	fr
723	OPER   	,
723	IDEN   	fout
723	OPER   	,
723	IDEN   	scan_preprocessor
723	SPEC   	)
723	SPEC   	;
724	SPEC   	}
725	REWD   	else
725	REWD   	if
725	SPEC   	(
725	IDEN   	c
725	OPER   	==
725	CHAR   	+
725	OPER   	||
725	IDEN   	c
725	OPER   	==
725	CHAR   	-
725	OPER   	||
725	IDEN   	c
725	OPER   	==
725	CHAR   	.
725	SPEC   	)
726	SPEC   	{
727	REWD   	char
727	IDEN   	nextChar
727	OPER   	=
727	IDEN   	fgetc
727	SPEC   	(
727	IDEN   	fr
727	OPER   	->
727	IDEN   	fin
727	SPEC   	)
727	SPEC   	;
728	REWD   	if
728	SPEC   	(
728	IDEN   	isdigit
728	SPEC   	(
728	IDEN   	nextChar
728	SPEC   	)
728	SPEC   	)
729	SPEC   	{
730	IDEN   	fseek
730	SPEC   	(
730	IDEN   	fr
730	OPER   	->
730	IDEN   	fin
730	OPER   	,
730	OPER   	,
730	IDEN   	SEEK_CUR
730	SPEC   	)
730	SPEC   	;
731	IDEN   	ScanToken
731	SPEC   	(
731	IDEN   	fr
731	OPER   	,
731	IDEN   	fout
731	OPER   	,
731	IDEN   	scan_float
731	SPEC   	)
731	SPEC   	;
732	SPEC   	}
733	REWD   	else
734	SPEC   	{
735	IDEN   	fseek
735	SPEC   	(
735	IDEN   	fr
735	OPER   	->
735	IDEN   	fin
735	OPER   	,
735	OPER   	,
735	IDEN   	SEEK_CUR
735	SPEC   	)
735	SPEC   	;
736	IDEN   	ScanToken
736	SPEC   	(
736	IDEN   	fr
736	OPER   	,
736	IDEN   	fout
736	OPER   	,
736	IDEN   	scan_operator
736	SPEC   	)
736	SPEC   	;
737	SPEC   	}
738	SPEC   	}
739	REWD   	else
740	SPEC   	{
741	IDEN   	fseek
741	SPEC   	(
741	IDEN   	fr
741	OPER   	->
741	IDEN   	fin
741	OPER   	,
741	OPER   	,
741	IDEN   	SEEK_CUR
741	SPEC   	)
741	SPEC   	;
742	IDEN   	ScanToken
742	SPEC   	(
742	IDEN   	fr
742	OPER   	,
742	IDEN   	fout
742	OPER   	,
742	IDEN   	scan_operator
742	SPEC   	)
742	SPEC   	;
743	SPEC   	}
745	IDEN   	c
745	OPER   	=
745	IDEN   	fgetc
745	SPEC   	(
745	IDEN   	fr
745	OPER   	->
745	IDEN   	fin
745	SPEC   	)
745	SPEC   	;
746	REWD   	if
746	SPEC   	(
746	IDEN   	c
746	OPER   	==
746	CHAR   	\\n
746	SPEC   	)
747	SPEC   	{
748	IDEN   	fr
748	OPER   	->
748	IDEN   	line_number
748	OPER   	++
748	SPEC   	;
749	SPEC   	}
750	REWD   	else
751	SPEC   	{
752	IDEN   	fseek
752	SPEC   	(
752	IDEN   	fr
752	OPER   	->
752	IDEN   	fin
752	OPER   	,
752	OPER   	,
752	IDEN   	SEEK_CUR
752	SPEC   	)
752	SPEC   	;
753	SPEC   	}
754	SPEC   	}
755	SPEC   	}
757	REWD   	int
758	IDEN   	main
758	SPEC   	(
758	SPEC   	)
759	SPEC   	{
760	SC     	
761	IDEN   	FileReader
761	OPER   	*
761	IDEN   	fr
761	OPER   	=
761	SPEC   	(
761	IDEN   	FileReader
761	OPER   	*
761	SPEC   	)
761	IDEN   	malloc
761	SPEC   	(
761	REWD   	sizeof
761	SPEC   	(
761	IDEN   	FileReader
761	SPEC   	)
761	SPEC   	)
761	SPEC   	;
762	IDEN   	fr
762	OPER   	->
762	IDEN   	fin
762	OPER   	=
762	IDEN   	fopen
762	SPEC   	(
762	IDEN   	DEFAULT_INPUT_FILENAME
762	OPER   	,
762	STR    	r
762	SPEC   	)
762	SPEC   	;
763	IDEN   	fr
763	OPER   	->
763	IDEN   	line_number
763	OPER   	=
763	INTE   	1
763	SPEC   	;
765	SC     	
766	IDEN   	FILE
766	OPER   	*
766	IDEN   	fout
766	OPER   	=
766	IDEN   	fopen
766	SPEC   	(
766	IDEN   	DEFAULT_OUTPUT_FILENAME
766	OPER   	,
766	STR    	w
766	SPEC   	)
766	SPEC   	;
768	REWD   	if
768	SPEC   	(
768	IDEN   	fr
768	OPER   	->
768	IDEN   	fin
768	OPER   	==
768	IDEN   	NULL
768	OPER   	||
768	IDEN   	fout
768	OPER   	==
768	IDEN   	NULL
768	SPEC   	)
769	SPEC   	{
770	IDEN   	fprintf
770	SPEC   	(
770	IDEN   	stderr
770	OPER   	,
770	STR    	Error opening files.\n
770	SPEC   	)
770	SPEC   	;
771	REWD   	return
771	IDEN   	EXIT_FAILURE
771	SPEC   	;
772	SPEC   	}
774	IDEN   	ScanToken
774	SPEC   	(
774	IDEN   	fr
774	OPER   	,
774	IDEN   	fout
774	OPER   	,
774	IDEN   	scan_tokens
774	SPEC   	)
774	SPEC   	;
776	IDEN   	fclose
776	SPEC   	(
776	IDEN   	fr
776	OPER   	->
776	IDEN   	fin
776	SPEC   	)
776	SPEC   	;
777	IDEN   	fclose
777	SPEC   	(
777	IDEN   	fout
777	SPEC   	)
777	SPEC   	;
778	IDEN   	free
778	SPEC   	(
778	IDEN   	fr
778	SPEC   	)
778	SPEC   	;
780	IDEN   	printf
780	SPEC   	(
780	STR    	The output is sucessful in %s
780	OPER   	,
780	IDEN   	DEFAULT_OUTPUT_FILENAME
780	SPEC   	)
780	SPEC   	;
781	REWD   	return
781	IDEN   	EXIT_SUCCESS
781	SPEC   	;
782	SPEC   	}
